"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"2175";1;1;2;6;2;3;2;4;7;2;4;1;1;0;3;0;1;0;0;0;-0,011996533861217;-0,0303147269703129;39,5983281545341;76
"2176";1;4;2;6;4;7;2;5;2;3;1;1;1;0;0;1;0;0;0;0;-0,031040825964068;-0,00202212870818558;22,1519242972136;77
"2177";0;0;0;0;0;2;2;4;2;3;1;6;6;5;3;4;0;1;0;1;0,00819944053029188;-0,0325210968590297;58,0997837940231;78
"2178";0;0;0;0;0;0;0;2;2;6;0;5;6;0;5;3;2;3;3;3;0,0158340953688392;-0,0259024169473919;65,0938621722162;79
"2179";0;0;0;0;0;0;0;0;0;2;0;1;3;0;6;6;8;10;4;0;0,0463828847445643;0,0414952441879559;93,0794924031943;80
"2180";0;0;0;0;0;0;0;0;0;2;0;2;1;0;9;7;1;9;9;0;0,042285363701158;0,0286535220018285;89,3257688963786;81
"2181";0;0;0;0;0;1;1;1;1;0;0;2;6;0;10;5;5;4;3;1;0,0347573824637595;0,00813035044979942;82,4294138001278;82
"2182";3;0;11;7;8;1;1;4;4;0;0;0;1;0;0;0;0;0;0;0;-0,0506027685032563;0,053528991226342;4,23130283597857;83
"2183";0;0;0;3;2;3;1;3;9;0;1;3;5;2;2;3;2;0;1;0;0,00234183987448732;-0,0348271051432531;52,7336580213159;84
"2184";0;0;0;0;1;2;0;3;1;6;0;6;7;3;5;1;1;2;2;0;0,00871512121276432;-0,0322028062928871;58,5721969138831;85
"2185";2;0;8;6;5;5;0;3;0;5;0;3;3;0;0;0;0;0;0;0;-0,0254583497682068;-0,0129515069381894;27,2660095943138;86
"2186";9;0;9;9;3;5;1;2;0;2;0;0;0;0;0;0;0;0;0;0;-0,0524177239913486;0,0600438840728079;2,56862898822874;87
